id,ndb_no,food_group_code,long_description,short_description,common_name,company_name,survey,refuse_description,refuce,scientific_name,nitrogen_factor,protein_factor,fat_factor,cho_factor,food_group_id
1,01001,0100,"Butter, salted","BUTTER,WITH SALT",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
2,01002,0100,"Butter, whipped, with salt","BUTTER,WHIPPED,WITH SALT",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
3,01003,0100,"Butter oil, anhydrous","BUTTER OIL,ANHYDROUS",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
4,01004,0100,"Cheese, blue","CHEESE,BLUE",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
5,01005,0100,"Cheese, brick","CHEESE,BRICK",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
6,01006,0100,"Cheese, brie","CHEESE,BRIE",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
7,01007,0100,"Cheese, camembert","CHEESE,CAMEMBERT",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
8,01008,0100,"Cheese, caraway","CHEESE,CARAWAY",NULL,NULL,NULL,NULL,0,NULL,6.38,4.27,8.79,3.87,1
9,01009,0100,"Cheese, cheddar","CHEESE,CHEDDAR",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
10,01010,0100,"Cheese, cheshire","CHEESE,CHESHIRE",NULL,NULL,NULL,NULL,0,NULL,6.38,4.27,8.79,3.87,1
11,01011,0100,"Cheese, colby","CHEESE,COLBY",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
12,01012,0100,"Cheese, cottage, creamed, large or small curd","CHEESE,COTTAGE,CRMD,LRG OR SML CURD",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
13,01013,0100,"Cheese, cottage, creamed, with fruit","CHEESE,COTTAGE,CRMD,W/FRUIT",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
14,01014,0100,"Cheese, cottage, nonfat, uncreamed, dry, large or small curd","CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
15,01015,0100,"Cheese, cottage, lowfat, 2% milkfat","CHEESE,COTTAGE,LOWFAT,2% MILKFAT",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
16,01016,0100,"Cheese, cottage, lowfat, 1% milkfat","CHEESE,COTTAGE,LOWFAT,1% MILKFAT",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
17,01017,0100,"Cheese, cream","CHEESE,CREAM",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
18,01018,0100,"Cheese, edam","CHEESE,EDAM",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
19,01019,0100,"Cheese, feta","CHEESE,FETA",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
20,01020,0100,"Cheese, fontina","CHEESE,FONTINA",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
21,01021,0100,"Cheese, gjetost","CHEESE,GJETOST",NULL,NULL,NULL,NULL,0,NULL,6.38,4.27,8.79,3.87,1
22,01022,0100,"Cheese, gouda","CHEESE,GOUDA",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
23,01023,0100,"Cheese, gruyere","CHEESE,GRUYERE",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
24,01024,0100,"Cheese, limburger","CHEESE,LIMBURGER",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
25,01025,0100,"Cheese, monterey","CHEESE,MONTEREY",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
26,01026,0100,"Cheese, mozzarella, whole milk","CHEESE,MOZZARELLA,WHL MILK",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
27,01027,0100,"Cheese, mozzarella, whole milk, low moisture","CHEESE,MOZZARELLA,WHL MILK,LO MOIST",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
28,01028,0100,"Cheese, mozzarella, part skim milk","CHEESE,MOZZARELLA,PART SKIM MILK",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
29,01029,0100,"Cheese, mozzarella, part skim milk, low moisture","CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
30,01030,0100,"Cheese, muenster","CHEESE,MUENSTER",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
31,01031,0100,"Cheese, neufchatel","CHEESE,NEUFCHATEL",NULL,NULL,NULL,NULL,0,NULL,6.38,4.27,8.79,3.87,1
32,01032,0100,"Cheese, parmesan, grated","CHEESE,PARMESAN,GRATED",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
33,01033,0100,"Cheese, parmesan, hard","CHEESE,PARMESAN,HARD",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
34,01034,0100,"Cheese, port de salut","CHEESE,PORT DE SALUT",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
35,01035,0100,"Cheese, provolone","CHEESE,PROVOLONE",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
36,01036,0100,"Cheese, ricotta, whole milk","CHEESE,RICOTTA,WHOLE MILK",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
37,01037,0100,"Cheese, ricotta, part skim milk","CHEESE,RICOTTA,PART SKIM MILK",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
38,01038,0100,"Cheese, romano","CHEESE,ROMANO",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
39,01039,0100,"Cheese, roquefort","CHEESE,ROQUEFORT",NULL,NULL,NULL,NULL,0,NULL,6.38,4.27,8.79,3.87,1
40,01040,0100,"Cheese, swiss","CHEESE,SWISS",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
41,01041,0100,"Cheese, tilsit","CHEESE,TILSIT",NULL,NULL,NULL,NULL,0,NULL,6.38,4.27,8.79,3.87,1
42,01042,0100,"Cheese, pasteurized process, american, with di sodium phosphate","CHEESE,PAST PROCESS,AMERICAN,W/DI NA PO4",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
43,01043,0100,"Cheese, pasteurized process, pimento","CHEESE,PAST PROCESS,PIMENTO",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
44,01044,0100,"Cheese, pasteurized process, swiss, with di sodium phosphate","CHEESE,PAST PROCESS,SWISS,W/DI NA PO4",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
45,01045,0100,"Cheese food, cold pack, american","CHEESE FD,COLD PK,AMERICAN",NULL,NULL,NULL,NULL,0,NULL,6.38,4.27,8.79,3.87,1
46,01046,0100,"Cheese food, pasteurized process, american, without di sodium phosphate","CHEESE FD,PAST PROCESS,AMERICAN,WO/DI NA PO4",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
47,01047,0100,"Cheese food, pasteurized process, swiss","CHEESE FD,PAST PROCESS,SWISS",NULL,NULL,NULL,NULL,0,NULL,6.38,4.27,8.79,3.87,1
48,01048,0100,"Cheese spread, pasteurized process, american, without di sodium phosphate","CHEESE SPRD,PAST PROCESS,AMERICAN,WO/DI NA PO4",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
49,01049,0100,"Cream, fluid, half and half","CREAM,FLUID,HALF AND HALF",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
50,01050,0100,"Cream, fluid, light (coffee cream or table cream)","CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
51,01052,0100,"Cream, fluid, light whipping","CREAM,FLUID,LT WHIPPING",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
52,01053,0100,"Cream, fluid, heavy whipping","CREAM,FLUID,HVY WHIPPING",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
53,01054,0100,"Cream, whipped, cream topping, pressurized","CREAM,WHIPPED,CRM TOPPING,PRESSURIZED",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
54,01055,0100,"Cream, sour, reduced fat, cultured","CREAM,SOUR,RED FAT,CULTURED",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
55,01056,0100,"Cream, sour, cultured","CREAM,SOUR,CULTURED",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
56,01057,0100,Eggnog,EGGNOG,NULL,NULL,Y,NULL,0,NULL,6.37,4.27,8.79,3.90,1
57,01058,0100,"Sour dressing, non-butterfat, cultured, filled cream-type","SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
58,01059,0100,"Milk, filled, fluid, with blend of hydrogenated vegetable oils","MILK,FILLED,FLUID,W/BLEND OF HYDR VEG OILS",NULL,NULL,NULL,NULL,0,NULL,6.38,4.27,8.79,3.87,1
59,01060,0100,"Milk, filled, fluid, with lauric acid oil","MILK,FILLED,FLUID,W/LAURIC ACID OIL",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
60,01067,0100,"Cream substitute, liquid, with hydrogenated vegetable oil and soy protein","CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT",NULL,NULL,Y,NULL,0,NULL,5.71,4.27,8.79,3.87,1
61,01068,0100,"Cream substitute, liquid, with lauric acid oil and sodium caseinate","CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE",NULL,NULL,NULL,NULL,0,NULL,6.29,4.27,8.79,3.87,1
62,01069,0100,"Cream substitute, powdered","CREAM SUBSTITUTE,POWDERED",NULL,NULL,Y,NULL,0,NULL,6.29,4.27,8.79,3.87,1
63,01070,0100,"Dessert topping, powdered","DESSERT TOPPING,POWDERED",NULL,NULL,NULL,NULL,0,NULL,6.29,4.27,8.79,3.87,1
64,01071,0100,"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk","DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK",NULL,NULL,Y,NULL,0,NULL,6.35,4.27,8.79,3.87,1
65,01072,0100,"Dessert topping, pressurized","DESSERT TOPPING,PRESSURIZED",NULL,NULL,Y,NULL,0,NULL,6.29,4.27,8.79,3.87,1
66,01073,0100,"Dessert topping, semi solid, frozen","DESSERT TOPPING,SEMI SOLID,FRZ",NULL,NULL,Y,NULL,0,NULL,6.29,4.27,8.84,3.87,1
67,01074,0100,"Sour cream, imitation, cultured","SOUR CRM,IMITN,CULTURED",NULL,NULL,Y,NULL,0,NULL,6.29,4.27,8.79,3.87,1
68,01076,0100,"Milk substitutes, fluid, with lauric acid oil","MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL",NULL,NULL,NULL,NULL,0,NULL,6.29,4.27,8.79,3.87,1
69,01077,0100,"Milk, whole, 3.25% milkfat, with added vitamin D","MILK,WHL,3.25% MILKFAT,W/ ADDED VITAMIN D",NULL,NULL,Y,NULL,0,NULL,NULL,NULL,NULL,NULL,1
70,01078,0100,"Milk, producer, fluid, 3.7% milkfat","MILK,PRODUCER,FLUID,3.7% MILKFAT",NULL,NULL,NULL,NULL,0,NULL,6.38,4.27,8.79,3.87,1
71,01079,0100,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D","MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A & VITAMIN D",NULL,NULL,Y,NULL,0,NULL,NULL,NULL,NULL,NULL,1
72,01080,0100,"Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids and vitamin A and vitamin D","MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED NFMS, VIT A & VIT D",NULL,NULL,NULL,NULL,0,NULL,6.38,4.27,8.79,3.87,1
73,01081,0100,"Milk, reduced fat, fluid, 2% milkfat, protein fortified, with added vitamin A and vitamin D","MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ ADDED VIT A & D",NULL,NULL,NULL,NULL,0,NULL,6.38,4.27,8.79,3.87,1
74,01082,0100,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D","MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
75,01083,0100,"Milk, lowfat, fluid, 1% milkfat, with added nonfat milk solids, vitamin A and vitamin D","MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADD NONFAT MILK SOL,VIT A/ D",NULL,NULL,NULL,NULL,0,NULL,6.38,4.27,8.79,3.87,1
76,01084,0100,"Milk, lowfat, fluid, 1% milkfat, protein fortified, with added vitamin A and vitamin D","MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ ADDED VIT A & D",NULL,NULL,NULL,NULL,0,NULL,6.38,4.27,8.79,3.87,1
77,01085,0100,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)","MILK,NONFAT,FLUID,W/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
78,01086,0100,"Milk, nonfat, fluid, with added nonfat milk solids, vitamin A and vitamin D (fat free or skim)","MILK,NONFAT,FLUID,W/ ADDED NONFAT MILK SOL,VIT A & VIT D",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
79,01087,0100,"Milk, nonfat, fluid, protein fortified, with added vitamin A and vitamin D (fat free and skim)","MILK,NONFAT,FLUID,PROT FORT,W/ ADD VIT A & D (FAT FREE/SKIM)",NULL,NULL,NULL,NULL,0,NULL,6.38,4.27,8.79,3.87,1
80,01088,0100,"Milk, buttermilk, fluid, cultured, lowfat","MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
81,01089,0100,"Milk, low sodium, fluid","MILK,LO NA,FLUID",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
82,01090,0100,"Milk, dry, whole, with added vitamin D","MILK,DRY,WHL,W/ ADDED VITAMIN D",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
83,01091,0100,"Milk, dry, nonfat, regular, without added vitamin A and vitamin D","MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
84,01092,0100,"Milk, dry, nonfat, instant, with added vitamin A and vitamin D","MILK,DRY,NONFAT,INST,W/ ADDED VIT A & VITAMIN D",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
85,01093,0100,"Milk, dry, nonfat, calcium reduced","MILK,DRY,NONFAT,CA RED",NULL,NULL,NULL,NULL,0,NULL,6.38,4.27,8.79,3.87,1
86,01094,0100,"Milk, buttermilk, dried","MILK,BUTTERMILK,DRIED",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
87,01095,0100,"Milk, canned, condensed, sweetened","MILK,CND,COND,SWTND",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
88,01096,0100,"Milk, canned, evaporated, with added vitamin D and without added vitamin A","MILK,CND,EVAP,W/ ADDED VITAMIN D & WO/ ADDED VIT A",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
89,01097,0100,"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D","MILK,CND,EVAP,NONFAT,W/ ADDED VIT A & VITAMIN D",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
90,01102,0100,"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D","MILK,CHOC,FLUID,COMM,WHL,W/ ADDED VIT A & VITAMIN D",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
91,01103,0100,"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D","MILK,CHOC,FLUID,COMM,RED FAT,W/ ADDED VIT A & VITAMIN D",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
92,01104,0100,"Milk, chocolate, fluid, commercial, lowfat, with added vitamin A and vitamin D","MILK,CHOC,FLUID,COMM,LOWFAT,W/ ADDED VIT A & VITAMIN D",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
93,01105,0100,"Milk, chocolate beverage, hot cocoa, homemade","MILK,CHOC BEV,HOT COCOA,HOMEMADE",NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1
94,01106,0100,"Milk, goat, fluid, with added vitamin D","MILK,GOAT,FLUID,W/ ADDED VITAMIN D",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
95,01107,0100,"Milk, human, mature, fluid","MILK,HUMAN,MATURE,FLUID",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
96,01108,0100,"Milk, indian buffalo, fluid","MILK,INDIAN BUFFALO,FLUID",NULL,NULL,NULL,NULL,0,NULL,6.38,4.27,8.79,3.87,1
97,01109,0100,"Milk, sheep, fluid","MILK,SHEEP,FLUID",NULL,NULL,NULL,NULL,0,NULL,6.38,4.27,8.79,3.87,1
98,01110,0100,"Milk shakes, thick chocolate","MILK SHAKES,THICK CHOC",NULL,NULL,NULL,NULL,0,NULL,6.38,4.27,8.79,3.87,1
99,01111,0100,"Milk shakes, thick vanilla","MILK SHAKES,THICK VANILLA",NULL,NULL,NULL,NULL,0,NULL,6.38,4.27,8.79,3.87,1
100,01112,0100,"Whey, acid, fluid","WHEY,ACID,FLUID",NULL,NULL,NULL,NULL,0,NULL,6.38,4.27,8.79,3.87,1
101,01113,0100,"Whey, acid, dried","WHEY,ACID,DRIED",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
102,01114,0100,"Whey, sweet, fluid","WHEY,SWEET,FLUID",NULL,NULL,NULL,NULL,0,NULL,6.38,4.27,8.79,3.87,1
103,01115,0100,"Whey, sweet, dried","WHEY,SWEET,DRIED",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
104,01116,0100,"Yogurt, plain, whole milk, 8 grams protein per 8 ounce","YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
105,01117,0100,"Yogurt, plain, low fat, 12 grams protein per 8 ounce","YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
106,01118,0100,"Yogurt, plain, skim milk, 13 grams protein per 8 ounce","YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
107,01119,0100,"Yogurt, vanilla, low fat, 11 grams protein per 8 ounce","YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
108,01120,0100,"Yogurt, fruit, low fat, 9 grams protein per 8 ounce","YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
109,01121,0100,"Yogurt, fruit, low fat, 10 grams protein per 8 ounce","YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
110,01122,0100,"Yogurt, fruit, low fat, 11 grams protein per 8 ounce","YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ",NULL,NULL,NULL,NULL,0,NULL,6.38,4.27,8.79,3.87,1
111,01123,0100,"Egg, whole, raw, fresh","EGG,WHL,RAW,FRSH",NULL,NULL,Y,Shell,12,NULL,NULL,NULL,NULL,NULL,1
112,01124,0100,"Egg, white, raw, fresh","EGG,WHITE,RAW,FRESH",NULL,NULL,Y,NULL,0,NULL,NULL,NULL,NULL,NULL,1
113,01125,0100,"Egg, yolk, raw, fresh","EGG,YOLK,RAW,FRSH",NULL,NULL,Y,NULL,0,NULL,NULL,NULL,NULL,NULL,1
114,01126,0100,"Egg, yolk, raw, frozen","EGG,YOLK,RAW,FROZEN",NULL,NULL,Y,NULL,0,NULL,6.25,4.36,9.02,3.68,1
115,01127,0100,"Egg, yolk, raw, frozen, sugared","EGG,YOLK,RAW,FRZ,SUGARED",NULL,NULL,NULL,NULL,0,NULL,6.25,4.36,9.02,3.68,1
116,01128,0100,"Egg, whole, cooked, fried","EGG,WHL,CKD,FRIED",NULL,NULL,Y,NULL,0,NULL,NULL,NULL,NULL,NULL,1
117,01129,0100,"Egg, whole, cooked, hard-boiled","EGG,WHL,CKD,HARD-BOILED",NULL,NULL,Y,Shell,12,NULL,6.25,4.36,9.02,3.68,1
118,01130,0100,"Egg, whole, cooked, omelet","EGG,WHOLE,COOKED,OMELET",NULL,NULL,Y,NULL,0,NULL,6.25,4.36,9.02,3.68,1
119,01131,0100,"Egg, whole, cooked, poached","EGG,WHL,CKD,POACHED",NULL,NULL,Y,NULL,0,NULL,NULL,NULL,NULL,NULL,1
120,01132,0100,"Egg, whole, cooked, scrambled","EGG,WHL,CKD,SCRMBLD",NULL,NULL,Y,NULL,0,NULL,6.25,4.36,9.02,3.68,1
121,01133,0100,"Egg, whole, dried","EGG,WHOLE,DRIED",NULL,NULL,Y,NULL,0,NULL,6.25,4.36,9.02,3.68,1
122,01134,0100,"Egg, whole, dried, stabilized, glucose reduced","EGG,WHL,DRIED,STABILIZED,GLUCOSE RED",NULL,NULL,NULL,NULL,0,NULL,6.25,4.36,9.02,3.68,1
123,01135,0100,"Egg, white, dried, flakes, glucose reduced","EGG,WHITE,DRIED,FLAKES,GLUCOSE RED",NULL,NULL,NULL,NULL,0,NULL,6.25,4.36,9.02,3.68,1
124,01136,0100,"Egg, white, dried, powder, glucose reduced","EGG,WHITE,DRIED,PDR,GLUCOSE RED",NULL,NULL,Y,NULL,0,NULL,6.25,4.36,9.02,3.68,1
125,01137,0100,"Egg, yolk, dried","EGG,YOLK,DRIED",NULL,NULL,Y,NULL,0,NULL,6.25,4.36,9.02,3.68,1
126,01138,0100,"Egg, duck, whole, fresh, raw","EGG,DUCK,WHOLE,FRESH,RAW",NULL,NULL,Y,Shell,12,NULL,6.25,4.36,9.02,3.68,1
127,01139,0100,"Egg, goose, whole, fresh, raw","EGG,GOOSE,WHOLE,FRESH,RAW",NULL,NULL,Y,Shell,13,NULL,6.25,4.36,9.02,3.68,1
128,01140,0100,"Egg, quail, whole, fresh, raw","EGG,QUAIL,WHOLE,FRESH,RAW",NULL,NULL,Y,Shell,8,NULL,6.25,4.36,9.02,3.68,1
129,01141,0100,"Egg, turkey, whole, fresh, raw","EGG,TURKEY,WHL,FRSH,RAW",NULL,NULL,NULL,Shell,12,NULL,6.25,4.36,9.02,3.68,1
130,01144,0100,"Egg substitute, powder","EGG SUBSTITUTE,POWDER",NULL,NULL,Y,NULL,0,NULL,6.25,4.36,9.02,3.87,1
131,01145,0100,"Butter, without salt","BUTTER,WITHOUT SALT",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
132,01146,0100,"Cheese, parmesan, shredded","CHEESE,PARMESAN,SHREDDED",NULL,NULL,NULL,NULL,0,NULL,6.38,4.27,8.79,3.87,1
133,01147,0100,"Cheese, pasteurized process, american, without di sodium phosphate","CHEESE,PAST PROCESS,AMERICAN,WO/DI NA PO4",NULL,NULL,NULL,NULL,0,NULL,6.38,4.27,8.79,3.87,1
134,01148,0100,"Cheese, pasteurized process, swiss, without di sodium phosphate","CHEESE,PAST PROCESS,SWISS,WO/DI NA PO4",NULL,NULL,NULL,NULL,0,NULL,6.38,4.27,8.79,3.87,1
135,01149,0100,"Cheese food, pasteurized process, american, with di sodium phosphate","CHEESE FD,PAST PROCESS,AMERICAN,W/DI NA PO4",NULL,NULL,NULL,NULL,0,NULL,6.38,4.27,8.79,3.87,1
136,01150,0100,"Cheese spread, pasteurized process, american, with di sodium phosphate","CHEESE SPRD,PAST PROCESS,AMERICAN,W/DI NA PO4",NULL,NULL,NULL,NULL,0,NULL,6.38,4.27,8.79,3.87,1
137,01151,0100,"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)","MILK,NONFAT,FLUID,WO/ADDED VIT A & VIT D (FAT FREE OR SKIM)",NULL,NULL,Y,NULL,0,NULL,NULL,NULL,NULL,NULL,1
138,01152,0100,"Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids, without added vitamin A","MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A",NULL,NULL,NULL,NULL,0,NULL,6.38,4.27,8.79,3.87,1
139,01153,0100,"Milk, canned, evaporated, with added vitamin A","MILK,CND,EVAP,W/ VIT A",NULL,NULL,NULL,NULL,0,NULL,6.38,4.27,8.79,3.87,1
140,01154,0100,"Milk, dry, nonfat, regular, with added vitamin A and vitamin D","MILK,DRY,NONFAT,REG,W/ ADDED VIT A & VITAMIN D",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
141,01155,0100,"Milk, dry, nonfat, instant, without added vitamin A and vitamin D","MILK,DRY,NONFAT,INST,WO/ ADDED VIT A & VITAMIN D",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
142,01156,0100,"Cheese, goat, hard type","CHEESE,GOAT,HARD TYPE",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
143,01157,0100,"Cheese, goat, semisoft type","CHEESE,GOAT,SEMISOFT TYPE",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
144,01159,0100,"Cheese, goat, soft type","CHEESE,GOAT,SOFT TYPE",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
145,01160,0100,"Egg, yolk, raw, frozen, salted","EGG,YOLK,RAW,FRZ,SALTED",NULL,NULL,NULL,NULL,0,NULL,6.25,4.36,9.02,3.68,1
146,01161,0100,"Cheese substitute, mozzarella","CHEESE SUB,MOZZARELLA",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
147,01163,0100,"Cheese fondue","CHEESE FONDUE",NULL,NULL,NULL,NULL,0,NULL,6.38,NULL,NULL,NULL,1
148,01164,0100,"Cheese sauce, prepared from recipe","CHEESE SAU,PREP FROM RECIPE",NULL,NULL,Y,NULL,0,NULL,6.38,4.08,8.92,3.95,1
149,01165,0100,"Cheese, mexican, queso anejo","CHEESE,MEXICAN,QUESO ANEJO",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
150,01166,0100,"Cheese, mexican, queso asadero","CHEESE,MEXICAN,QUESO ASADERO",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
151,01167,0100,"Cheese, mexican, queso chihuahua","CHEESE,MEXICAN,QUESO CHIHUAHUA",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
